name,description,eventDate,location,isVirtual,meetingLink,hobbyId,groupId,organizerId
The Saturday Night Spring Celebration Bash! (Two Great Clubs in One Night!),"Hello everyone, **Kindly Read Carefully:** Please join us for a terrific night where we will meet at **The** \*\*Rose and Crown \*\*to get our evening started. (Conveniently located on Yonge Street just a couple minute walk north from Yong/Eglinton station) We will stay here (The Rose and Crown) for a couple hours then head to our 2nd **secret location** all walking distance from each other. (The 2nd location will include amazing music with Live Band, DJ and big Dance Floor- so bring your dancing shoes too if you like :) -Joined by my other social groups too; so we can anticipate a great night! \*Please arrive between 8:00 pm to 10:00 pm as we will be heading to the next pub shortly after that :) **Where and When to Meet us?** **Location: The Rose and Crown (Ask for Steve or look for us near the back, to the left of the Pool Table in the Lounge Room)** **Address:** 2335 Yonge St, Toronto, ON M4P 2C8 **Arrive between: 8:00 pm and 10:00 pm** **GOOD VIBES ONLY :** Event Details below: Sincerely, Steve Flemming (Organizer) \-\-\-\-\-\-\-\-\-\-\-\- **Event Details:** **The Saturday Night Spring Celebration Bash! (Two Great Clubs in One Night!) (DJ, Bands, Dance Floors!)** -We will meet \*\*inside The Rose and Crown in the sofa lounge room, near the back, behind the pool tables (to your left) \*\*have a cold beer, glass of wine or mix cocktail; connect with everyone, ice breaker game, then make our way out to our 2nd secret location to dance the night away with DJ and Live Band \*I will try to greet you at the front and direct you to the group (you can also ask the staff as well to direct you-Ask for Steve's Party) \*Going to be a great night; with fabulous people, live music and fun times! \-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\- **Event Fee: (Cash only at the door)** 5 dollars if you arrive between 8:00 pm and 8:30 pm Price goes up to 10 dollars after 8:31 pm to 8:59 (to encourage people to early and on time :) \*If you arrive after 9:00 pm you will have to pay 5 dollars to the venue along with 10 dollars to take part in our Club Crawl with Secret location- (so please arrive before 9:00 pm if you can) 5 dollars by e transfer in advance to: steveflemming11@gmail.com (before 8:30 pm and 10 dollars after 8:30 pm) \-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-",2025-05-24T20:00-04:00,"The Rose and Crown - near Eglinton subway station, 2335 Yonge St., Toronto, ON",false,,,37968707,10
The Friday Night May Long Weekend Pub Crawl! (May 16th) (Live Band and Dancing) ,"Hello everyone, **Kindly Read Carefully:** Wanna make some new friends in the best part of town? Let's start our long weekend off right with a fun night out, with good times, conversations and a couple cool clubs with Live Music, DJ and Dancing. First we will meet at ***(La Carnita - (go down stairs to find us)*** to get our evening going. (Conveniently located at Yonge & Eglinton; 3-4 minute walk east on Eglinton. The next venue is only a few minutes away from there (our Secret Location) **Where to Meet us?** **La Carnita - Good Fortune Bar-** You will be directed downstairs to there cool party room area :) **Date:** Friday May 16th **Address:** 130 Eglinton Ave. Toronto, ON M4P 2X9 **Arrive between:** 8:00 pm and 10:00 pm (save a little money if you come before 9 pm-plus more time to meet everyone :) **Highlights:** \*Reserved tables and seating for dinner, cocktails and mingling \*Venue is very close to the Yonge and Eglinton subway station \*Ice breaker game to make it easy to meet and connect with everyone :) \*A fun game to win complimentary beverages and treats :) \*Live Music (Band and DJ) with dancing at our second secret location \*Dress casual or dress up if you like :) -Joined by my other social groups too; so we can anticipate a fun night out. \*One beverage or appetizer minimum at the first and second location upon arrival. Thank you for your understanding and co-operation. \-\-\-\-\-\- Event Details below: Steve Flemming (Organizer) meetup.com/soulcity/ \-\-\-\-\-\-\-\-\-\-\-\- Event Details: **The Friday Night May Long Weekend Pub Crawl! (May 16th) (Live Band and Dancing)** -We will meet ***down stairs in their party bar room area;*** connect with everyone, ice breaker game, socialize, share some laughs; then make our way to our surprise location with live music, cool atmosphere, great people and dancing :) \*Plan to come for dinner too if you like at the first venue, as tables will be reserved for everyone (2nd venue will be very close- walking distance for us) \-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\- **EVENT FEE:** **Night of Event- Friday May 16th (Arrival Times)** -5 dollars if you arrive between (8:00 pm to 9:00 pm) -10 dollars if you arrive between (9:01 pm to 10:00 pm) If you arrive after that you will simply miss the event :) **(cash or by e transfer to steveflemming11@gmail.com)** \-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\- **Parking Available:** \*Plenty of free street parking on Eglinton and (Residential area south/east of venue for free) **Close to Subway Station:** \*Also three minute walk east from Yonge/Eglinton subway station",2025-05-16T20:00-04:00,"La Carnita, 130 Eglinton Ave. East, Toronto , ON",false,,,37837421,10
Fun Social Party Game Night On Zoom - Make New Friends!,"GET DETAILS AND TICKETS AT: [https://www.eventbrite.com/e/943500012937](https://www.eventbrite.com/e/943500012937) ^^ We have a few online events so click the link above for the event you're interested in to get tickets/details. Check the Eventbrite page (Not Meetup) for the correct event start times) ^^ \*\* TICKETS ARE FREE FOR FIRST TIME ATTENDEES! \*\* Grab a cocktail or your favorite snacks because we're bringing a fun social party game night to your home on Zoom! This is a multi-Meetup group event. 10 other groups have also been invited so we'll be sure to have a good size turnout. RSVPing on Meetup does not get you a spot... You have to go to the Eventbrite page to sign up. Most people sign up on their own so don't worry if you're coming on alone. Our friendly host will welcome you, introduce everyone in attendance and out you on a team. THIS IS A MULTI-MEETUP GROUP EVENT. A BUNCH OF OTHER GROUPS HAVE ALSO BEEN INVITED SO WE'LL BE SURE TO HAVE A GOOD SIZE GET DETAILS AND TICKETS AT: [https://www.eventbrite.com/e/943500012937](https://www.eventbrite.com/e/943500012937)TURNOUT. THE RSVP LIST ON MEETUP REFLECTS ONLY A SMALL PORTION OF ATTENDEES.",2025-05-09T21:00-04:00,Online,true,,,35771488,10
Dinner and Karaoke,"Join us Wednesday Night Dinner & Karaoke or Drinks and Karaoke 7 pm to 11pm at Via Mercanti Woodbridge (No Cover Charge) 3650 Langstaff Rd Woodbridge Please make Reservations call 905 856-5656 Great food, awesome vibes! Sing the night away with MC Tony Bertini Every Wednesday Night is Karaoke Night at Via Mercanti Woodbridge Celebrate your birthday with us contact Tony Bertini for details",2025-05-14T19:00-04:00,"Via Mercanti Woodbridge, 3650 Langstaff Rd, Woodbridge, ON",false,,,33117967,10
LETS CELEBRATE SPRING AT LOCAL PUB  THE DUCHESS,"LOVING LIFE AT 50 MEMBERS! HAPPY SPRING. MARKHAM HAS A CHARMING LOCAL PUB WITH GREAT FOOD AND LIVE MUSIC. WE HAVE ALWAYS HAD SUCCESSFUL EVENING HERE. LET'S MEET AT 7:00PM AND HOPEFULLY STAY FOR LIVE MUSIC. IT IS ROCK. GREAT WAY TO WELCOME SPRING , A COLD ONE ,GREAT FOOD MEET NEW FRIENDS. SEE YOU SATURDAY LORI YACCATO 289 552 6999 53 MAIN STREET NORTH , MARKHAM",2025-05-10T19:00-04:00,"The Duchess of ""Markham"" , 53 Main St N, Markham, ON",false,,,32726511,10
Dinner and Drinks at Jack Astors,Come on out on Friday night and join us for dinner and drinks at the at Jack Astor’s Yonge and Bloor. New members are always welcome. Please note there is a $3 charge for this Meetup. Payment Options: E-transfers should be sent to torontofriendsmeetup@gmail.com Or PayPal Link: https://www.paypal.com/paypalme/torontofriendsmeetup Hope to see you there!,2025-05-09T18:00-04:00,"Jack Astor's Bar & Grill 2 Bloor St E, Toronto, 2 Bloor St E, Toronto, Toronto, ON",false,,,22478229,10
20s 30s Social Party & Activities in toronto,"Hey Toronto! This is your weekly escape into global cultures. Every Saturday at 7:30 PM, people in their 20s and 30s gather for a mix of language practice, travel stories, and community. Whether you’re new in town or born here, this is where world citizens connect. No judgment, no pressure — just pure, human interaction. [https://chat.whatsapp.com/I96kXwrwlTrA8eTkAUc3eE](https://chat.whatsapp.com/I96kXwrwlTrA8eTkAUc3eE)",2025-05-10T19:30-04:00,"Madison Avenue Pub, 14 Madison Avenue, Bloor&Spadina, Toronto, ON",false,,,38009481,10
Budget bites: 🇹🇭 Childfree happy hour/dinner at NEW Thai restaurant/bar!,,2025-05-18T17:00-04:00,Location not specified,false,,,15245232,10
Chocolate Groove - FULL MOON Cacao Ecstatic Dance with Cacaoboy,"**CACAOBOY RETURNS...** Fresh from his South American tour, **Jesse Buck AKA Cacaoboy returns to Chocolate Groove** inspired & refreshed for a BIG SPRING INTO SUMMER! At the root of the Chocolate Groove is the “Ecstatic Dance” experience. An intentional, safe, all-inclusive, alcohol-free space where people intuitively move to music, release emotions, connect authentically, and tap into the joy of bold uninhibited self-expression. Yes, **we are NOT a traditional “Ecstatic Dance”**! Yet, we have grown into an ever evolving expression of a Community who love to dance, socialize, connect with each other, experience art & reinvent party culture. Merging the sacred & the play together with Cacao at the heart. In alignment with the **Scorpio “Flower Moon”** peaking on May 12th at 12:55am. We are going back to our roots.. **The intention** for this event is to co-create a fully immersive experience, with no barrier between DJ & Dancer. To create this experience we will be setting up the DJ in the center of the dance floor, with the NEW Unity Production Soundsystem (which was only used for the International Women's day event) in the 4 corners of the venue and run full surround sound. ✨✨ TICKETS - [https://www.eventbrite.ca/e/chocolate-groove-full-moon-cacao-ecstatic-dance-with-cacaoboy-tickets-1351195926389?aff=MEETUP](https://www.eventbrite.ca/e/chocolate-groove-full-moon-cacao-ecstatic-dance-with-cacaoboy-tickets-1351195926389?aff=MEETUP) ✨**What to Expect:** **OPENING WARM UP -** The evening opens with a facilitated movement, breath and connection ice breaker workshop by Reva Wild. Exploring movement, community connection, play and intimacy. **CACAO CEREMONY -** Drop in, Connect & Open your Heart with our opening Cacao intention setting ceremony meditation. Indulge on what they call “the food of the gods”, Cacao AKA “the soul of chocolate”. Cacao, a heart-opening plant medicine, is shared to help deepen connection, amplify experience, boost mood, heart rate, and enhance movement. Its natural compounds gently energize the body and uplift the spirit, creating a euphoric, grounded state. We feel it is essential to take time to set intentions and unify the group before the dance journey begins. **ECSTATIC DANCE -** We’ll slowly sink into the floor & move into a **deep dive, Ecstatic Dance Journey.** Cacaoboy will be leading the ecstatic spaceship through various genres to invoke you into ecstatic states of expression. “Ecstatic” meaning “heightened feeling state”. From stillness we journey together without words, but through our movement we connect, to ourselves, each other and beyond. Co-creating a safe space for non-judgement, self expression, play & wonder. **SOUNDBATH MEDITATION -** Jesse Buck will be sharing a deep dive 432hz Crystal Bowl sound journey with special guests. With an array of other sound healing tools, you will sink into stillness and journey within through sacred sound. **CLOSING CIRCLE -** We end as we began, connected together in a circle. Let’s move. Let’s groove. Let’s rise — **together**. ✨**PLEASE NOTE -** Our bar will have refreshments & food for participants to stay hydrated & nourished! The dance floor will be a no phone, no talking space, but we will have a lounge on the stage for those who want to rest and connect with words. This is a no shoes event & we encourage you to dress comfortable ✨ **Time - 7:00pm - 12:00am** ✨ **Schedule -** **7:00 - DOORS OPEN** **7:30 - 8:00 - Cacao Ceremony** **8:30 - Ecstatic Dance with Cacaoboy** **10:30 - Closing Soundbath Meditation** **11:30 - Event concludes** ✨ **LOCATION - Lithuania House** [1573 Bloor Street West, Toronto, ON M6P1A6](https://lithuanianhouse.ca/contact/) ### **\>\>\> ENERGY EXCHANGE <<<** **12 YRS & Under - FREE** **12-18 YRS - $20** **EARLY BIRD -** $25 **(Until May 12th)** **GENERAL ADMISSION -** $30 **AT THE DOOR -** $40 **COMMUNITY SUPPORTER -** $50 *(This option helps provide financial assistance for those in need.)* We strive to keep our events as accessible as possible. If you require financial assistance to attend, please reach out:📩 **[chocolategroove111@gmail.com](https://www.eventbrite.ca/e/chocolate-groove-full-moon-cacao-ecstatic-dance-with-cacaoboy-tickets-1351195926389?aff=oddtdtcreator)** **INTERESTED IN VENDING?** **Contact** : [vendors.chocolategroove@gmail.com](https://www.eventbrite.ca/e/chocolate-groove-full-moon-cacao-ecstatic-dance-with-cacaoboy-tickets-1351195926389?aff=oddtdtcreator) ### **What is Chocolate Groove?** For the past six years, **Chocolate Groove** has been hosting **conscious, intentional celebrations**—creating a **safe, inclusive** space for gathering, drinking cacao, dancing, and deep connection. As a **staple ""Sober Celebration"" event in Toronto**, we bring a **wellness-focused, retreat-style experience** to the nightlife scene. Since our first **alcohol-free dance gathering in 2018**, we have continued to evolve—holding space for both **Ecstatic Dance** and meaningful **social connection...",2025-05-14T19:00-04:00,"Lithuanian House Downstairs, 1573 Bloor St. West Hall B, Toronto, ON",false,,,32468237,10
AperoChic Sunset Vibes,"*//Tickets are pre-sale only on [Eventbrite](https://Aperosunset.eventbrite.ca) //* *Early birds till May 7* On **May 27**, join us for **Sunset Vibes**: an elevated AperoChic experience set on the **38th floor of the stunning lounge of Aera**, privately reserved just for our guests. As the sun sets over a **breathtaking 180° view** of the lake and Toronto Islands, we invite you to reconnect with what truly matters; real presence, meaningful conversations, and that unmistakable energy that happens when the city’s most vibrant minds meet. This isn’t just an afterwork; it’s a new chapter of AperoChic, where **elegance meets connection**, and **every drink shared opens the door to a new story**. Whether you come with friends or come to find new ones, this will be **Toronto’s most inspiring social networking event of the season**. Come for the view, stay for the vibe and be part of our return. **Early birds till May 7th - Space is limited for this intimate evening / [reserve your spot now to be part of something special.](https://Aperosunset.eventbrite.ca)** **Cash Bar** **Dress Code:** Simply Chic ✨ **A professional photographer will be capturing the magic, so bring your best glow.** **Tickets are refundable up to 7 days before the event.** **Can’t make it? You’re welcome to transfer your ticket for this event to someone of your choice at any time.** Want to be informed on our coming events? [Join our community](https://www.aperochic.ca/ ""https://www.aperochic.ca"") AperoChic Team",2025-05-27T18:30-04:00,"Aera, 8 Spadina Avenue (39th Floor), Toronto, ON",false,,,394491,10
SPORTS NIGHT. LEAFS AND FLORIDA. FRI MAY 9 AT 7:00 PM. NO MEETUP FEES!!!!!,"It's time to watch the Leafs in the Playoffs!!!!! It is a great way to socialize, meet new people and have some wings. I picked St Louis Wings since it is a new location and just opened and it is right at St Clair and Yonge Street",2025-05-09T19:00-04:00,"St Louis Bar & Grill , 11 St Clair Ave West, Toronto , ON",false,,,37235737,10
TRIVIA NIGHT @ AXIS CAFE!! (Dundas Street West) $3 meetup fee - Big Main Prize,"***TRIVIA NIGHT AT AXIS.*** ***$3 fee + $5 minimum purchase (hopefully more) from the Axis Cafe.*** ***The entire $3 fee from everyone will go to the 1st place team.*** ***For instance, if 30 play, the 1st place team gets to split $90 between them.*** ***Other food voucher prizes from the Axis Cafe will be in play as well.*** ***TRIVIA QUESTIONS BEGIN AT APPROX 7:15 PM.*** ***The Axis Cafe, located N of High Park, on Dundas St. West. There's lots of room and we will have most of the restaurant to ourselves.*** ***As always, we'll be able to set up multiple teams of 4-5 max per table. If possible, try to sit with other group members you've never met before. This way you'll be able to ""meetup"" with some possible new friends!! That's what it's all about!!*** ***Look for us near the front stage. This is where our emcee, Tony Krolo will be doing his thing.*** ***There's a $3 fee. Please bring exact change if you can. Thanks.*** ***After our own grand prize The Axis Cafe's normal prize structure is $20 $15 and $10.*** ***Just see me (Alex) when you arrive and I'll get you set up!!*** ***IMPORTANT NOTE*** ***Outside food or drink is an absolute NO-NO.*** ***The (no pressure) Trivia consists of 3 parts, music, visual and general knowledge. Playing on a team is a great way to break the ice with other members of our group. It's all for fun and we always have a lot of laughs at our Trivia events.*** ***IMPORTANT NOTE*** ***The Axis Cafe is mainly made up of low tables, unlike what we had at Kramer's.*** ***The Axis Cafe is accessible. Use the side entrance.*** ***There is one washroom located at the back and 2 more downstairs.*** ***Our Quiz Master Host, Tony Krolo is also a stand-up comic with Yuk Yuk's, so this makes it even more fun!!*** ***TRIVIA START TIME is approx 7:15pm, so do your best to get there early!!*** ***Trivia ends at around 9:15PM and after that we'll all have a chance to hang out together and socialize a bit more if you wish.*** ***TRANSIT*** ***From Line 2 take the #40A or 40B Dundas W bus to Pacific Ave. The Axis Cafe is located about 2 minutes west of there.*** ***PARKING*** ***There appears to be a little street parking on McMurray Ave. right by Axis. There is a Green P Lot on Pacific Ave. S of Dundas St. W., a short walk east of Axis.*** ***As always, let's come with a positive attitude and a great big smile. I'm sure that we'll have a lot of laughs!! We always do!!*** ***WE WILL HAVE SEPARATE CHEQUES*** ***LET'S ALL HAVE A BLAST TOGETHER!!*** ***WE LOOK FORWARD TO SEEING YOU @ THE AXIS CAFE!!***",2025-05-12T18:30-04:00,"Axis Cafe, 3048 Dundas St W, Toronto, ON",false,,,4480842,10
Wednesday night Dinner and Karaoke or Karaoke and a few drinks,"Join the Vaughan Karaoke Meetup Group for a fun-filled evening of Karaoke and Dance! Whether you're a seasoned Karaoke Singer or just looking to learn to sing, this event is perfect for all skill levels. Sing the night away to the lively beats! Showcase your vocal talents during your karaoke sessions. Work up an appetite, a delicious dinner can be ordered from our menu or just grab a few drinks, where you can mingle with fellow music enthusiasts and make new friends. Don't miss out on this opportunity to connect with other karaoke singers, and dancers in the area while enjoying a night of entertainment and great company. Get ready to have a blast at our Karaoke Night Out!",2025-05-14T19:00-04:00,"Via Mercanti Woodbridge, 3650 Langstaff Rd, Woodbridge, ON",false,,,37989538,10
